Lote 3697216, Stock:, 3.36 a 0 (3.36),costo,12025.000000, valor,40404 
Lote 22112016, Stock:, 1.7 a 0 (1.7),costo,12025.000000, valor,20442.5 
Lote 1340611, Stock:, 2.94 a 0 (2.94),costo,5077.000000, valor,14926.38 
Lote 4640719, Stock:, 6.05 a 0 (6.05),costo,7177.000000, valor,43420.85 
Lote 4613116, Stock:, 0.45 a 0 (0.45),costo,18297.000000, valor,8233.65 
Lote 3987114, Stock:, 4.7 a 0 (4.7),costo,7193.000000, valor,33807.1 
Lote 72016, Stock:, 0.45 a 0 (0.45),costo,8131.000000, valor,3658.95 
Lote 11253417, Stock:, 1.16 a 0 (1.16),costo,7232.000000, valor,8389.12 
Lote 8009012, Stock:, 5.45 a 0 (5.45),costo,8912.000000, valor,48570.4 
Lote 1755917, Stock:, 2.85 a 0 (2.85),costo,3560.000000, valor,10146 
Lote 22667317, Stock:, 30 a 0 (30),costo,3560.000000, valor,106800 
Lote 5850419, Stock:, 10 a 0 (10),costo,3560.000000, valor,35600 
Lote 18316017, Stock:, 2.6 a 0 (2.6),costo,3560.000000, valor,9256 
Lote 15065016, Stock:, 20 a 0 (20),costo,3560.000000, valor,71200 
Lote 1759617, Stock:, 1.49 a 0 (1.49),costo,3560.000000, valor,5304.4 
Lote 14234515, Stock:, 5.7 a 0 (5.7),costo,3560.000000, valor,20292 
Lote 13812715, Stock:, 0.71 a 0 (0.71),costo,8287.000000, valor,5883.77 
Lote 16436315, Stock:, 1.2 a 0 (1.2),costo,20073.000000, valor,24087.6 
Lote 5965116, Stock:, 0.97 a 0 (0.97),costo,20073.000000, valor,19470.81 
Lote 15044615, Stock:, 1 a 0 (1),costo,20073.000000, valor,20073 
Lote 20887015, Stock:, 2.54 a 0 (2.54),costo,20073.000000, valor,50985.42 
Lote 11601616, Stock:, 1.5 a 0 (1.5),costo,8871.000000, valor,13306.5 
Lote 13311715, Stock:, 1.96 a 0 (1.96),costo,5460.000000, valor,10701.6 
Lote 678313, Stock:, 1.62 a 0 (1.62),costo,16156.000000, valor,26172.72 
Lote 4081516, Stock:, 1.27 a 0 (1.27),costo,20195.000000, valor,25647.65 
Lote 2823617, Stock:, 1.47 a 0 (1.47),costo,3061.000000, valor,4499.67 
Lote 22240417, Stock:, 3.92 a 0 (3.92),costo,3061.000000, valor,11999.12 
